Id,St,T,Site,Client,Geom1,Geom2,N_Impact,Cote,Lieu,Utilise analyse,Profondeur,X,Y,,,,,,,,,,
ADECAL_TOUHO_09_2014_CAGES_EXTERIEUR_5_T01,CAGES_EXTERIEUR_5,T01,TOUHO,ADECAL,NA,NA,NA,Est,Touho,Non,,321284,380625,,,,,,,,,,
ADECAL_TOUHO_09_2014_CAGES_EXTERIEUR_9_T01,CAGES_EXTERIEUR_9,T01,TOUHO,ADECAL,NA,NA,NA,Est,Touho,Non,,321284,380625,,,,,,,,,,
ADECAL_TOUHO_09_2014_CAGES_INTERIEUR_5_T01,CAGES_INTERIEUR_5,T01,TOUHO,ADECAL,NA,NA,NA,Est,Touho,Non,,321284,380625,,,,,,,,,,
ADECAL_TOUHO_09_2014_CAGES_INTERIEUR_9_T01,CAGES_INTERIEUR_9,T01,TOUHO,ADECAL,NA,NA,NA,Est,Touho,Non,,321284,380625,,,,,,,,,,
ADECAL_TOUHO_09_2014_CAGES_T01,CAGES,T01,TOUHO,ADECAL,Récif frangeant,RF,Impact,Est,Touho,Oui,,321268,380629,,,,,,,,,,
ADECAL_TOUHO_09_2014_CAGES_T02,CAGES,T02,TOUHO,ADECAL,Récif frangeant,RF,Impact,Est,Touho,Oui,,321268,380629,,,,,,,,,,
ADECAL_TOUHO_09_2014_CAGES_T03,CAGES,T03,TOUHO,ADECAL,Récif frangeant,RF,Impact,Est,Touho,Oui,,321268,380629,,,,,,,,,,
ADECAL_TOUHO_09_2014_CAGES_T04,CAGES,T04,TOUHO,ADECAL,Récif frangeant,RF,Impact,Est,Touho,Oui,,321268,380629,,,,,,,,,,
ADECAL_TOUHO_09_2014_REF_T01,REF,T01,TOUHO,ADECAL,Récif frangeant,RF,Référence,Est,Touho,Oui,,320683,380726,,,,,,,,,,
ADECAL_TOUHO_09_2014_REF_T02,REF,T02,TOUHO,ADECAL,Récif frangeant,RF,Référence,Est,Touho,Oui,,320683,380726,,,,,,,,,,
ADECAL_TOUHO_09_2014_REF_T03,REF,T03,TOUHO,ADECAL,Récif frangeant,RF,Référence,Est,Touho,Oui,,320683,380726,,,,,,,,,,
ADECAL_TOUHO_09_2014_REF_T04,REF,T04,TOUHO,ADECAL,Récif frangeant,RF,Référence,Est,Touho,Oui,,320683,380726,,,,,,,,,,
ADECAL_TOUHO_03_2015_CAGES_EXTERIEUR_5_T01,CAGES_EXTERIEUR_5,T01,TOUHO,ADECAL,NA,NA,NA,Est,Touho,Non,,321284,380625,,,,,,,,,,
ADECAL_TOUHO_03_2015_CAGES_EXTERIEUR_9_T01,CAGES_EXTERIEUR_9,T01,TOUHO,ADECAL,NA,NA,NA,Est,Touho,Non,,321284,380625,,,,,,,,,,
