Id,Année,Campagne,Date,Période BACI,Saison,Site,Client,Utilise analyse,,,,,,,,,
ADECAL_TOUHO_09_2015_CAGES_EXTERIEUR_5_T01,2015,A_2015,3/09/2015,After,Froide,TOUHO,ADECAL,Non,,,,,,,,,
ADECAL_TOUHO_09_2015_CAGES_EXTERIEUR_9_T01,2015,A_2015,3/09/2015,After,Froide,TOUHO,ADECAL,Non,,,,,,,,,
ADECAL_TOUHO_09_2015_CAGES_INTERIEUR_5_T01,2015,A_2015,3/09/2015,After,Froide,TOUHO,ADECAL,Non,,,,,,,,,
ADECAL_TOUHO_09_2015_CAGES_INTERIEUR_9_T01,2015,A_2015,3/09/2015,After,Froide,TOUHO,ADECAL,Non,,,,,,,,,
ADECAL_TOUHO_09_2015_CAGES_T01,2015,A_2015,3/09/2015,After,Froide,TOUHO,ADECAL,Oui,,,,,,,,,
ADECAL_TOUHO_09_2015_CAGES_T02,2015,A_2015,3/09/2015,After,Froide,TOUHO,ADECAL,Oui,,,,,,,,,
ADECAL_TOUHO_09_2015_CAGES_T03,2015,A_2015,3/09/2015,After,Froide,TOUHO,ADECAL,Oui,,,,,,,,,
ADECAL_TOUHO_09_2015_CAGES_T04,2015,A_2015,3/09/2015,After,Froide,TOUHO,ADECAL,Oui,,,,,,,,,
ADECAL_TOUHO_09_2015_REF_T01,2015,A_2015,3/09/2015,After,Froide,TOUHO,ADECAL,Oui,,,,,,,,,
ADECAL_TOUHO_09_2015_REF_T02,2015,A_2015,3/09/2015,After,Froide,TOUHO,ADECAL,Oui,,,,,,,,,
ADECAL_TOUHO_09_2015_REF_T03,2015,A_2015,3/09/2015,After,Froide,TOUHO,ADECAL,Oui,,,,,,,,,
ADECAL_TOUHO_09_2015_REF_T04,2015,A_2015,3/09/2015,After,Froide,TOUHO,ADECAL,Oui,,,,,,,,,
ADECAL_TOUHO_03_2015_CAGES_EXTERIEUR_5_T01,2015,S_2015,17/03/2015,After,Chaude,TOUHO,ADECAL,Non,,,,,,,,,
ADECAL_TOUHO_03_2015_CAGES_EXTERIEUR_9_T01,2015,S_2015,17/03/2015,After,Chaude,TOUHO,ADECAL,Non,,,,,,,,,
ADECAL_TOUHO_03_2015_CAGES_INTERIEUR_5_T01,2015,S_2015,17/03/2015,After,Chaude,TOUHO,ADECAL,Non,,,,,,,,,
ADECAL_TOUHO_03_2015_CAGES_INTERIEUR_9_T01,2015,S_2015,17/03/2015,After,Chaude,TOUHO,ADECAL,Non,,,,,,,,,
ADECAL_TOUHO_03_2015_CAGES_T01,2015,S_2015,17/03/2015,After,Chaude,TOUHO,ADECAL,Oui,,,,,,,,,
ADECAL_TOUHO_03_2015_CAGES_T02,2015,S_2015,17/03/2015,After,Chaude,TOUHO,ADECAL,Oui,,,,,,,,,
ADECAL_TOUHO_03_2015_CAGES_T03,2015,S_2015,17/03/2015,After,Chaude,TOUHO,ADECAL,Oui,,,,,,,,,
